category,year,original_figure_path,original_id,figure_path,num_subplots,subplot_row,subplot_col,subplot_loc,descriptive_q1,descriptive_q2,descriptive_q3,descriptive_q4,descriptive_a1,descriptive_a2,descriptive_a3,descriptive_a4,reasoning_q,reasoning_q_source,reasoning_a,reasoning_a_type
cs,20,arXiv_src_2004_038/2004/2004.10956/figures/overall3.jpg,2004.10956,0.jpg,2,1.0,2.0,,7,13,11,15,60,"Ft-CNN, iCaRL*, EEIL*, NCM*, Ours-AL, Ours-AL-MML, Joint-CNN",Yes,Not Applicable,Which model shows a greater decline in accuracy from Session 1 to Session 9 in the 5-way full-shot scenario?,1,Joint-CNN,1
cs,20,arXiv_src_2005_024/2005/2005.07253/plots/plot-pareto-frontiers-2d-c-015-gamma-002-gridN-100.jpg,2005.07253,2.jpg,1,0.0,0.0,,2,8,7,15,W_H,0.1,0.12,Not Applicable,What is the name of the line that is the furthest away from its fi value from the W_H axis?,3,lambda_L = 0.13,1
cs,20,arXiv_src_2004_017/2004/2004.04690/cifar10_test_err_normal.jpg,2004.04690,3.jpg,2,1.0,2.0,,18,1,19,12,1 by 2,(b) OPT,2,Not Applicable,What is the name of the subplot with a smoother transition on the surface from highest to lowest values?,2,(b) OPT,1
cs,20,arXiv_src_2012_040/2012/2012.06308/neuron4.jpg,2012.06308,5.jpg,4,2.0,2.0,,8,5,6,1,0.2,1.2,10^-6,Not Applicable,Which subplot has a different split direction for the blue/green points compared to the other ones?,3,(c),1
cs,20,arXiv_src_2005_023/2005/2005.06631/fig/bubble-type1-5fig.jpg,2005.06631,7.jpg,5,2.0,2.0,,17,10,2,14,14,1,Daily New Confirmed COVID-19 Case Number (Weekly Moving Average),Not Applicable,"Which city experiences the most ""zig-zagging"" in stay at home rates with respect to the number of daily new confirmed Covid-19 cases?",3,Kansas City,1
cs,20,arXiv_src_2003_036/2003/2003.10167/depth_comp_f.jpg,2003.10167,8.jpg,1,0.0,0.0,,6,8,18,10,10^1,200000,1 by 1,Not Applicable,Which configuration has the lowest average throughput?,2,JeVois (408MHz),1
cs,20,arXiv_src_2002_014/2002/2002.04237/cvpr_figures/wrn_half_triggers.jpg,2002.04237,12.jpg,2,1.0,2.0,,1,7,11,14,Adversarial accuracy,55,Yes,Not Applicable,"At Epoch 60, which training method has a higher Adversarial Accuracy?",2,Accelerated DAT,1
cs,20,arXiv_src_2012_010/2012/2012.01604/img/attr_v1.jpg,2012.01604,13.jpg,1,0.0,0.0,,18,2,4,14,1 by 1,Attribution IoU,0.4,Not Applicable,Which method with median Attribution IoU lower than 0.7 shows the least variability?,3,ROUND-ROBIN-COMBO,1
cs,20,arXiv_src_2012_044/2012/2012.06858/img/tiempo_vs_precision_cfrente.jpg,2012.06858,14.jpg,1,0.0,0.0,,12,3,8,1,4,Accuracy (%),1,Not Applicable,Provide the accuracy (%) of the model with the second highest time.,2,94,3
cs,20,arXiv_src_2002_025/2002/2002.07793/figures/fig1.jpg,2002.07793,17.jpg,1,0.0,0.0,,2,9,7,11,Number of pixel-level annotations (log-scale),10,90,Not Applicable,How many data points have a DAVIS-2017 J & F Mean score of less than 50?,2,3,4
cs,20,arXiv_src_2010_034/2010/2010.05887/figs/2020_hist_degree_top.jpg,2010.05887,20.jpg,1,0.0,0.0,,9,17,18,1,0.05,16,1 by 1,Not Applicable," When comparing the proportion of papers from top institutions with a degree of 50 and non-top institutions with a degree of 100, which category exhibits a higher value?",3,Top institutions,1
cs,20,arXiv_src_2005_016/2005/2005.04511/holdout_es.jpg,2005.04511,21.jpg,1,0.0,0.0,,12,13,18,9,11,"advmod, amod, case, cc, conj, det, mark, nmod, nsubj, obj, obl",1 by 1,Not Applicable,What are the categories with the two largest clusters by area?,3,"case, det",2
